,Entity,Currency,AlphabeticCode,NumericCode,MinorUnit,WithdrawalDate
0,AFGHANISTAN,Afghani,AFN,971,2,
1,ÅLAND ISLANDS,Euro,EUR,978,2,
2,ALBANIA,Lek,ALL,8,2,
3,ALGERIA,Algerian Dinar,DZD,12,2,
4,AMERICAN SAMOA,US Dollar,USD,840,2,
5,ANDORRA,Euro,EUR,978,2,
6,ANGOLA,Kwanza,AOA,973,2,
7,ANGUILLA,East Caribbean Dollar,XCD,951,2,
8,ANTARCTICA,No universal currency,,0,0,
9,ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD,951,2,
10,ARGENTINA,Argentine Peso,ARS,32,2,
11,ARMENIA,Armenian Dram,AMD,51,2,
12,ARUBA,Aruban Florin,AWG,533,2,
13,AUSTRALIA,Australian Dollar,AUD,36,2,
14,AUSTRIA,Euro,EUR,978,2,
15,AZERBAIJAN,Azerbaijan Manat,AZN,944,2,
16,BAHAMAS (THE),Bahamian Dollar,BSD,44,2,
17,BAHRAIN,Bahraini Dinar,BHD,48,3,
18,BANGLADESH,Taka,BDT,50,2,
19,BARBADOS,Barbados Dollar,BBD,52,2,
20,BELARUS,Belarusian Ruble,BYN,933,2,
21,BELGIUM,Euro,EUR,978,2,
22,BELIZE,Belize Dollar,BZD,84,2,
23,BENIN,CFA Franc BCEAO,XOF,952,0,
24,BERMUDA,Bermudian Dollar,BMD,60,2,
25,BHUTAN,Indian Rupee,INR,356,2,
26,BHUTAN,Ngultrum,BTN,64,2,
27,BOLIVIA (PLURINATIONAL STATE OF),Boliviano,BOB,68,2,
28,BOLIVIA (PLURINATIONAL STATE OF),Mvdol,BOV,984,2,
29,"BONAIRE, SINT EUSTATIUS AND SABA",US Dollar,USD,840,2,
30,BOSNIA AND HERZEGOVINA,Convertible Mark,BAM,977,2,
31,BOTSWANA,Pula,BWP,72,2,
32,BOUVET ISLAND,Norwegian Krone,NOK,578,2,
33,BRAZIL,Brazilian Real,BRL,986,2,
34,BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,840,2,
35,BRUNEI DARUSSALAM,Brunei Dollar,BND,96,2,
36,BULGARIA,Bulgarian Lev,BGN,975,2,
37,BURKINA FASO,CFA Franc BCEAO,XOF,952,0,
38,BURUNDI,Burundi Franc,BIF,108,0,
39,CABO VERDE,Cabo Verde Escudo,CVE,132,2,
40,CAMBODIA,Riel,KHR,116,2,
41,CAMEROON,CFA Franc BEAC,XAF,950,0,
42,CANADA,Canadian Dollar,CAD,124,2,
43,CAYMAN ISLANDS (THE),Cayman Islands Dollar,KYD,136,2,
44,CENTRAL AFRICAN REPUBLIC (THE),CFA Franc BEAC,XAF,950,0,
45,CHAD,CFA Franc BEAC,XAF,950,0,
46,CHILE,Chilean Peso,CLP,152,0,
47,CHILE,Unidad de Fomento,CLF,990,4,
48,CHINA,Yuan Renminbi,CNY,156,2,
49,CHRISTMAS ISLAND,Australian Dollar,AUD,36,2,
50,COCOS (KEELING) ISLANDS (THE),Australian Dollar,AUD,36,2,
51,COLOMBIA,Colombian Peso,COP,170,2,
52,COLOMBIA,Unidad de Valor Real,COU,970,2,
53,COMOROS (THE),Comorian Franc,KMF,174,0,
54,CONGO (THE DEMOCRATIC REPUBLIC OF THE),Congolese Franc,CDF,976,2,
55,CONGO (THE),CFA Franc BEAC,XAF,950,0,
56,COOK ISLANDS (THE),New Zealand Dollar,NZD,554,2,
57,COSTA RICA,Costa Rican Colon,CRC,188,2,
58,CÔTE D'IVOIRE,CFA Franc BCEAO,XOF,952,0,
59,CROATIA,Kuna,HRK,191,2,
60,CUBA,Cuban Peso,CUP,192,2,
61,CUBA,Peso Convertible,CUC,931,2,
62,CURAÇAO,Netherlands Antillean Guilder,ANG,532,2,
63,CYPRUS,Euro,EUR,978,2,
64,CZECHIA,Czech Koruna,CZK,203,2,
65,DENMARK,Danish Krone,DKK,208,2,
66,DJIBOUTI,Djibouti Franc,DJF,262,0,
67,DOMINICA,East Caribbean Dollar,XCD,951,2,
68,DOMINICAN REPUBLIC (THE),Dominican Peso,DOP,214,2,
69,ECUADOR,US Dollar,USD,840,2,
70,EGYPT,Egyptian Pound,EGP,818,2,
71,EL SALVADOR,El Salvador Colon,SVC,222,2,
72,EL SALVADOR,US Dollar,USD,840,2,
73,EQUATORIAL GUINEA,CFA Franc BEAC,XAF,950,0,
74,ERITREA,Nakfa,ERN,232,2,
75,ESTONIA,Euro,EUR,978,2,
76,ESWATINI,Lilangeni,SZL,748,2,
77,ETHIOPIA,Ethiopian Birr,ETB,230,2,
78,EUROPEAN UNION,Euro,EUR,978,2,
79,FALKLAND ISLANDS (THE) [MALVINAS],Falkland Islands Pound,FKP,238,2,
80,FAROE ISLANDS (THE),Danish Krone,DKK,208,2,
81,FIJI,Fiji Dollar,FJD,242,2,
82,FINLAND,Euro,EUR,978,2,
83,FRANCE,Euro,EUR,978,2,
84,FRENCH GUIANA,Euro,EUR,978,2,
85,FRENCH POLYNESIA,CFP Franc,XPF,953,0,
86,FRENCH SOUTHERN TERRITORIES (THE),Euro,EUR,978,2,
87,GABON,CFA Franc BEAC,XAF,950,0,
88,GAMBIA (THE),Dalasi,GMD,270,2,
89,GEORGIA,Lari,GEL,981,2,
90,GERMANY,Euro,EUR,978,2,
91,GHANA,Ghana Cedi,GHS,936,2,
92,GIBRALTAR,Gibraltar Pound,GIP,292,2,
93,GREECE,Euro,EUR,978,2,
94,GREENLAND,Danish Krone,DKK,208,2,
95,GRENADA,East Caribbean Dollar,XCD,951,2,
96,GUADELOUPE,Euro,EUR,978,2,
97,GUAM,US Dollar,USD,840,2,
98,GUATEMALA,Quetzal,GTQ,320,2,
99,GUERNSEY,Pound Sterling,GBP,826,2,
100,GUINEA,Guinean Franc,GNF,324,0,
101,GUINEA-BISSAU,CFA Franc BCEAO,XOF,952,0,
102,GUYANA,Guyana Dollar,GYD,328,2,
103,HAITI,Gourde,HTG,332,2,
104,HAITI,US Dollar,USD,840,2,
105,HEARD ISLAND AND McDONALD ISLANDS,Australian Dollar,AUD,36,2,
106,HOLY SEE (THE),Euro,EUR,978,2,
107,HONDURAS,Lempira,HNL,340,2,
108,HONG KONG,Hong Kong Dollar,HKD,344,2,
109,HUNGARY,Forint,HUF,348,2,
110,ICELAND,Iceland Krona,ISK,352,0,
111,INDIA,Indian Rupee,INR,356,2,
112,INDONESIA,Rupiah,IDR,360,2,
113,INTERNATIONAL MONETARY FUND (IMF),SDR (Special Drawing Right),XDR,960,0,
114,IRAN (ISLAMIC REPUBLIC OF),Iranian Rial,IRR,364,2,
115,IRAQ,Iraqi Dinar,IQD,368,3,
116,IRELAND,Euro,EUR,978,2,
117,ISLE OF MAN,Pound Sterling,GBP,826,2,
118,ISRAEL,New Israeli Sheqel,ILS,376,2,
119,ITALY,Euro,EUR,978,2,
120,JAMAICA,Jamaican Dollar,JMD,388,2,
121,JAPAN,Yen,JPY,392,0,
122,JERSEY,Pound Sterling,GBP,826,2,
123,JORDAN,Jordanian Dinar,JOD,400,3,
124,KAZAKHSTAN,Tenge,KZT,398,2,
125,KENYA,Kenyan Shilling,KES,404,2,
126,KIRIBATI,Australian Dollar,AUD,36,2,
127,KOREA (THE DEMOCRATIC PEOPLE'S REPUBLIC OF),North Korean Won,KPW,408,2,
128,KOREA (THE REPUBLIC OF),Won,KRW,410,0,
129,KUWAIT,Kuwaiti Dinar,KWD,414,3,
130,KYRGYZSTAN,Som,KGS,417,2,
131,LAO PEOPLE'S DEMOCRATIC REPUBLIC (THE),Lao Kip,LAK,418,2,
132,LATVIA,Euro,EUR,978,2,
133,LEBANON,Lebanese Pound,LBP,422,2,
134,LESOTHO,Loti,LSL,426,2,
135,LESOTHO,Rand,ZAR,710,2,
136,LIBERIA,Liberian Dollar,LRD,430,2,
137,LIBYA,Libyan Dinar,LYD,434,3,
138,LIECHTENSTEIN,Swiss Franc,CHF,756,2,
139,LITHUANIA,Euro,EUR,978,2,
140,LUXEMBOURG,Euro,EUR,978,2,
141,MACAO,Pataca,MOP,446,2,
142,NORTH MACEDONIA,Denar,MKD,807,2,
143,MADAGASCAR,Malagasy Ariary,MGA,969,2,
144,MALAWI,Malawi Kwacha,MWK,454,2,
145,MALAYSIA,Malaysian Ringgit,MYR,458,2,
146,MALDIVES,Rufiyaa,MVR,462,2,
147,MALI,CFA Franc BCEAO,XOF,952,0,
148,MALTA,Euro,EUR,978,2,
149,MARSHALL ISLANDS (THE),US Dollar,USD,840,2,
150,MARTINIQUE,Euro,EUR,978,2,
151,MAURITANIA,Ouguiya,MRU,929,2,
152,MAURITIUS,Mauritius Rupee,MUR,480,2,
153,MAYOTTE,Euro,EUR,978,2,
154,MEMBER COUNTRIES OF THE AFRICAN DEVELOPMENT BANK GROUP,ADB Unit of Account,XUA,965,0,
155,MEXICO,Mexican Peso,MXN,484,2,
156,MEXICO,Mexican Unidad de Inversion (UDI),MXV,979,2,
157,MICRONESIA (FEDERATED STATES OF),US Dollar,USD,840,2,
158,MOLDOVA (THE REPUBLIC OF),Moldovan Leu,MDL,498,2,
159,MONACO,Euro,EUR,978,2,
160,MONGOLIA,Tugrik,MNT,496,2,
161,MONTENEGRO,Euro,EUR,978,2,
162,MONTSERRAT,East Caribbean Dollar,XCD,951,2,
163,MOROCCO,Moroccan Dirham,MAD,504,2,
164,MOZAMBIQUE,Mozambique Metical,MZN,943,2,
165,MYANMAR,Kyat,MMK,104,2,
166,NAMIBIA,Namibia Dollar,NAD,516,2,
167,NAMIBIA,Rand,ZAR,710,2,
168,NAURU,Australian Dollar,AUD,36,2,
169,NEPAL,Nepalese Rupee,NPR,524,2,
170,NETHERLANDS (THE),Euro,EUR,978,2,
171,NEW CALEDONIA,CFP Franc,XPF,953,0,
172,NEW ZEALAND,New Zealand Dollar,NZD,554,2,
173,NICARAGUA,Cordoba Oro,NIO,558,2,
174,NIGER (THE),CFA Franc BCEAO,XOF,952,0,
175,NIGERIA,Naira,NGN,566,2,
176,NIUE,New Zealand Dollar,NZD,554,2,
177,NORFOLK ISLAND,Australian Dollar,AUD,36,2,
178,NORTHERN MARIANA ISLANDS (THE),US Dollar,USD,840,2,
179,NORWAY,Norwegian Krone,NOK,578,2,
180,OMAN,Rial Omani,OMR,512,3,
181,PAKISTAN,Pakistan Rupee,PKR,586,2,
182,PALAU,US Dollar,USD,840,2,
183,"PALESTINE, STATE OF",No universal currency,,0,0,
184,PANAMA,Balboa,PAB,590,2,
185,PANAMA,US Dollar,USD,840,2,
186,PAPUA NEW GUINEA,Kina,PGK,598,2,
187,PARAGUAY,Guarani,PYG,600,0,
188,PERU,Sol,PEN,604,2,
189,PHILIPPINES (THE),Philippine Peso,PHP,608,2,
190,PITCAIRN,New Zealand Dollar,NZD,554,2,
191,POLAND,Zloty,PLN,985,2,
192,PORTUGAL,Euro,EUR,978,2,
193,PUERTO RICO,US Dollar,USD,840,2,
194,QATAR,Qatari Rial,QAR,634,2,
195,RÉUNION,Euro,EUR,978,2,
196,ROMANIA,Romanian Leu,RON,946,2,
197,RUSSIAN FEDERATION (THE),Russian Ruble,RUB,643,2,
198,RWANDA,Rwanda Franc,RWF,646,0,
199,SAINT BARTHÉLEMY,Euro,EUR,978,2,
200,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",Saint Helena Pound,SHP,654,2,
201,SAINT KITTS AND NEVIS,East Caribbean Dollar,XCD,951,2,
202,SAINT LUCIA,East Caribbean Dollar,XCD,951,2,
203,SAINT MARTIN (FRENCH PART),Euro,EUR,978,2,
204,SAINT PIERRE AND MIQUELON,Euro,EUR,978,2,
205,SAINT VINCENT AND THE GRENADINES,East Caribbean Dollar,XCD,951,2,
206,SAMOA,Tala,WST,882,2,
207,SAN MARINO,Euro,EUR,978,2,
208,SAO TOME AND PRINCIPE,Dobra,STN,930,2,
209,SAUDI ARABIA,Saudi Riyal,SAR,682,2,
